City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,la palma,33.8464,-118.0467,293.16,13,0,8.75,US,1733817369
303,kyshtovka,56.555,76.6271,257.97,85,100,7.33,RU,1733817467
304,ola,59.5833,151.2833,257.21,78,98,5.5,RU,1733817468
305,orenburg,51.7727,55.0988,265.16,65,100,5.34,RU,1733817468
306,aasiaat,68.7098,-52.8699,264.06,89,100,4.83,GL,1733817468
307,chishmy,54.5765,55.3764,268.38,82,100,7.3,RU,1733817468
308,bodo,67.28,14.405,280.34,98,100,13.89,NO,1733817468
309,menongue,-14.6585,17.691,300.36,48,65,4.07,AO,1733817468
310,punta umbria,37.1821,-6.9661,276.61,67,0,2.81,ES,1733817469
311,hirara,24.8,125.2833,296.3,64,20,6.17,JP,1733817469
312,carnarvon,-24.8667,113.6333,299.94,72,49,6.17,AU,1733817469
313,fort mcmurray,56.7268,-111.381,254.92,78,100,4.12,CA,1733817469
314,bamiantong,44.9333,130.5333,264.72,81,25,6.59,CN,1733817469
315,curitibanos,-27.2828,-50.5844,286.9,99,97,1.24,BR,1733817470
316,riverside,33.7333,-116.0508,283.33,17,0,4.47,US,1733817225
317,kongolo,-5.3833,27.0,301.32,67,20,0.91,CD,1733817470
318,pachino,36.7186,15.0907,288.56,56,100,4.89,IT,1733817470
319,wendell,35.781,-78.3697,285.57,95,100,0.45,US,1733817470
320,praia da vitoria,38.7333,-27.0667,290.29,72,75,5.3,PT,1733817470
321,preobrazheniye,42.9019,133.9064,272.19,56,5,3.34,RU,1733817470
322,colonia,50.9333,6.95,279.28,86,100,3.09,DE,1733817471
323,east ballina,-28.8667,153.5833,295.22,95,100,2.95,AU,1733817471
324,coahuayana de hidalgo,18.7,-103.6583,296.41,69,3,1.68,MX,1733817471
325,robertsport,6.7533,-11.3686,298.39,82,100,4.04,LR,1733817471
326,nyurba,63.2842,118.3319,242.94,99,100,1.93,RU,1733817471
327,guerrero negro,27.9769,-114.0611,287.7,88,44,4.51,MX,1733817471
328,jalapa,19.5333,-96.9167,288.95,45,0,3.02,MX,1733817471
329,wynyard,-41.0,145.7167,288.25,62,100,5.07,AU,1733817472
330,bridgewater,44.3835,-64.5155,271.97,73,100,5.66,CA,1733817472
331,mahanoro,-19.9,48.8,300.98,65,28,3.42,MG,1733817472
332,lekki,6.3607,4.8333,300.19,40,100,1.08,NG,1733817472
333,tingi,-11.3,35.0333,298.82,56,18,2.75,TZ,1733817472
334,makokou,0.5738,12.8642,301.08,64,26,1.61,GA,1733817472
335,rabo de peixe,37.8,-25.5833,290.92,99,75,1.54,PT,1733817472
336,ilula,-7.6766,36.0366,297.95,54,86,3.01,TZ,1733817473
337,kailua-kona,19.6406,-155.9956,297.13,70,0,3.09,US,1733817473
338,burley,42.5357,-113.7928,270.48,74,0,4.63,US,1733817473
339,kununurra,-15.7667,128.7333,310.14,41,40,6.17,AU,1733817473
340,touros,-5.1989,-35.4608,299.02,68,66,6.05,BR,1733817473
341,constantia,44.1833,28.65,279.65,93,100,7.74,RO,1733817473
342,kuraymah,18.55,31.85,300.12,24,0,6.75,SD,1733817474
343,bardai,11.65,7.2333,295.91,26,99,6.16,NG,1733817474
344,corredor,8.64,-82.946,295.1,94,7,1.37,CR,1733817474
345,saldanha,-33.0117,17.9442,297.18,76,4,5.37,ZA,1733817474
346,klyuchi,52.2667,79.1667,256.97,88,35,2.51,RU,1733817474
347,alofi,-19.0595,-169.9187,299.09,83,40,3.6,NU,1733817474
348,severo-yeniseyskiy,60.3725,93.0408,257.56,89,100,6.62,RU,1733817474
349,rengali,21.6333,84.05,300.18,33,77,3.01,IN,1733817475
350,utete,-7.986,38.758,305.71,52,9,1.15,TZ,1733817475
351,ust'-ilimsk,58.0006,102.6619,259.12,93,100,5.21,RU,1733817384
352,langzhong,31.5504,105.9938,281.24,76,99,2.69,CN,1733817475
353,playa blanca,28.8643,-13.8281,291.21,63,91,9.38,ES,1733817475
354,ismailia,30.6043,32.2723,288.19,67,100,0.0,EG,1733817475
355,madalena,41.2162,-8.3345,279.57,81,0,1.46,PT,1733817476
356,qarazhal,48.0078,70.7903,258.38,77,4,0.46,KZ,1733817476
357,rawlins,41.7911,-107.2387,265.09,79,40,4.12,US,1733817476
